SL,CLUBS,GOALS_SAVED,PLAYERS,GOALS_SCORED,POSTION,NATIONALITY,SALARY,PLAYERS
64,TOTTENHAM HOTSPUR,0,Pierre Emile,2,MidFielder,Denmark,6300000.00,Pierre Emile
65,TOTTENHAM HOTSPUR,0,Dele Ali,1,MidFielder,England,6100000.00,Dele Ali
66,TOTTENHAM HOTSPUR,0,Tanguy Ndombele,1,MidFielder,France,4500000.00,Tanguy Ndombele
67,TOTTENHAM HOTSPUR,0,Eric Dier,0,Defender,England,4300000.00,Eric Dier
68,TOTTENHAM HOTSPUR,0,Sergio Reguilon,1,Defender,Spain,2900000.00,Sergio Reguilon
69,TOTTENHAM HOTSPUR,0,Davinson Sanchez,2,Defender,Columbia,4100000.00,Davinson Sanchez
70,TOTTENHAM HOTSPUR,49,Hugo Lioris,0,Goalkeeper,France,6200000.00,Hugo Lioris
71,TOTTENHAM HOTSPUR,0,Alfie Whiteman,0,Goalkeeper,England,200000.00,Alfie Whiteman
72,TOTTENHAM HOTSPUR,0,Brandon Austin,0,Goalkeeper,England,18000.00,Brandon Austin
73,NEW CASTLE UTD,0,Callum Wilson,6,Forward,England,2400000.00,Callum Wilson
74,NEW CASTLE UTD,0,Allan Saint-Maximin,4,Forward,France,2000000.00,Allan Saint-Maximin
75,NEW CASTLE UTD,0,Dwight Gayle,0,Forward,England,2080000.00,Dwight Gayle
76,NEW CASTLE UTD,0,Joseph Willhock,0,Midfielder,England,2000000.00,Joseph Willhock
77,NEW CASTLE UTD,0,Sean Longstaff,1,Midfielder,England,52000.00,Sean Longstaff
78,NEW CASTLE UTD,0,Jacob Murphy,1,Midfielder,England,1300000.00,Jacob Murphy
79,NEW CASTLE UTD,0,Ciaran Clark,0,Defender,Ireland,1820000.00,Ciaran Clark
80,NEW CASTLE UTD,0,Jamaal Lascelles,1,Defender,England,2080000.00,Jamaal Lascelles
81,NEW CASTLE UTD,0,Javier Manquillo,1,Defender,Spain,1820000.00,Javier Manquillo
82,NEW CASTLE UTD,22,Martin Dubravka,0,Goalkeeper,Slovakia,1980000.00,Martin Dubravka
83,NEW CASTLE UTD,24,Freddie Woodman,0,Goalkeeper,England,156000.00,Freddie Woodman
84,NEW CASTLE UTD,10,Karl Darlow,0,Goalkeeper,England,1300000.00,Karl Darlow
85,WEST HAM UNITED,0,Said Benrahma,5,Forward,Algeria,1200000.00,Said Benrahma
86,WEST HAM UNITED,0,Jarrod Bowen,3,Forward,England,5000000.00,Jarrod Bowen
87,WEST HAM UNITED,0,Michail Antonio,8,Forward,Jamiaca,3640000.00,Michail Antonio
88,WEST HAM UNITED,0,Declan Rice,1,Midfielder,England,156000.00,Declan Rice
89,WEST HAM UNITED,0,Tomas Soucek,3,Midfielder,Czech Republic,3500000.00,Tomas Soucek
90,WEST HAM UNITED,0,Pablo Fornals,4,Midfielder,Spain,3500000.00,Pablo Fornals
91,WEST HAM UNITED,0,Aaron Creswell,0,Defender,England,2600000.00,Aaron Creswell
92,WEST HAM UNITED,0,Vladimir Coufal,1,Defender,Czech Republic,1600000.00,Vladimir Coufal
93,WEST HAM UNITED,0,Craig Dawson,1,Defender,England,2200000.00,Craig Dawson
94,WEST HAM UNITED,65,Lukasz Fabianski,0,Goalkeeper,Poland,3400000.00,Lukasz Fabianski
95,WEST HAM UNITED,0,David Martin,0,Goalkeeper,England,55000.00,David Martin
96,WEST HAM UNITED,0,Darren Randolph,0,Goalkeeper,Ireland,2100000.00,Darren Randolph
97,EVERTON,0,ANTHONY GORDAN,2,Forward,England,620000.00,ANTHONY GORDAN
98,EVERTON,0,DEMARAI GRAY,5,Forward,england,2500000.00,DEMARAI GRAY
99,EVERTON,0,SALOMÓN RONDÓN,1,Forward,Venezula,3740000.00,SALOMÓN RONDÓN
100,EVERTON,0,Allan,0,Midfielder,Brazil,4360000.00,Allan
101,EVERTON,0,ABDOULAYE DOUCOURÉ,2,Midfielder,France,1300000.00,ABDOULAYE DOUCOURÉ
102,EVERTON,0,FABIANDELPH,0,Midfielder,England,5000000.00,FABIANDELPH
103,EVERTON,0,MICHAEL KEANE,1,Defender,England,3600000.00,MICHAEL KEANE
104,EVERTON,0,LUCAS DIGNE,0,Defender,France,3000000.00,LUCAS DIGNE
105,EVERTON,0,BEN GODFREY,0,Defender,England,550000.00,BEN GODFREY
106,EVERTON,53,JORDAN PICKFORD,0,Goalkeeper,England,3700000.00,JORDAN PICKFORD
107,EVERTON,0,ASMIR BEGOVIC,0,Goalkeeper,Bosnia,4200000.00,ASMIR BEGOVIC
108,EVERTON,0,ANDY LONERGAN,0,Goalkeeper,England,250000.00,ANDY LONERGAN
109,LEICHESTER CITY,0,Ademola Lookman,3,Forward,England,1400000.00,Ademola Lookman
110,LEICHESTER CITY,0,Kelechi Iheanacho,2,Forward,Nigeria,3100000.00,Kelechi Iheanacho
111,LEICHESTER CITY,0,Jamie Vardy,9,Forward,England,7200000.00,Jamie Vardy
112,LEICHESTER CITY,0,James Maddison,5,Mid-Fielder,England,5720000.00,James Maddison
113,LEICHESTER CITY,0,Youri Tielemans,5,Mid-Fielder,Belgium,1700000.00,Youri Tielemans
114,LEICHESTER CITY,0,Harvey Barnes,2,Mid-Fielder,England,520000.00,Harvey Barnes
115,LEICHESTER CITY,0,Çaglar Söyüncü,1,Defender,Turkey,2350000.00,Çaglar Söyüncü
116,LEICHESTER CITY,0,Jonny Evans,1,Defender,Ireland,4100000.00,Jonny Evans
117,LEICHESTER CITY,0,Timothy Castagne,0,Defender,Belgium,3300000.00,Timothy Castagne
118,LEICHESTER CITY,62,Kasper Schmeichel,0,Goalkeeper,Denmark,6760000.00,Kasper Schmeichel
119,LEICHESTER CITY,0,Danny Ward,0,Goalkeeper,Wales,1040000.00,Danny Ward
120,LEICHESTER CITY,0,Eldin Jakupovic,0,Goalkeeper,Switzerland,1200000.00,Eldin Jakupovic
